,问题,选项1,选项2,选项3,选项4,答案
601,以下哪句话中“许多”的意思(或用法)与其他句子不同。,常常会看见许多鲜嫩的笋，成群地从土里探出头来,生活中的许多事，并不是我们不能做到，而是我们不相信能够做到,生命不可能有两次，但是许多人连一次也不善于度过,我可以明确地告诉你，许多人并未因此罪恶而受以，相反，还因此得到好处。塞内,C
602,以下哪句话中“范围”的意思(或用法)与其他句子不同。,今天我们提问已大大地超出了课文的范围，反映了我们同学学习的积极性及强烈的求知欲望,积累知识，也应该有农民积肥的劲头，捡的范围要宽，不要限制太多，……牛粪、人粪、羊粪都一概捡回来，让它们统统变成有用的肥料，滋养作物的生长,渐渐地东边露出了一片红霞，接着红霞的范围越来越大，越来越红。我目不转睛地盯住这片红霞，慢慢地太阳一纵一纵地露出了它的头，半圆、扁圆，紧接着整个太阳就呈现在我们的眼前，它是红得那么鲜艳，一点也不刺眼,民族差别就是在无产阶级*政治在全世界范围内实现以后，还要保持很久很久。,A
603,以下哪句话中“克服”的意思(或用法)与其他句子不同。,克服困难，勇敢者自有千方百计，怯懦者只感到万般无奈,这儿的生活条件不太好，请诸位克服一下,只有拥有健康向上的心理才能克服各种困难，遇到困难不屈服,成功就是在不断地克服困难，在困难中创造自己的价值。有心人会在困境中找出路，而无心的人只会在众多的机会中找借口,B
604,以下哪句话中“负责”的意思(或用法)与其他句子不同。,深圳有关负责官员表示，要将“深业控股”建成深圳参与国际资本市场的“龙头”机构，适当时候将注入母公司的优质资产加快发展。,命运负责洗牌，但是玩牌的是我们自己,"""你对多少人负责,你的公司就有多少人""",勤奋是一切事业的基础。要勤力努力，对企业负责、对股东负责,D
605,以下哪句话中“附近”的意思(或用法)与其他句子不同。,我家附近花园里有一棵3米多高的紫荆花树。它的树干碗口粗，上下长了许多树枝，树枝上的叶长得十分茂盛，像一把大伞撑在花园中央,穿过一片向日葵，我们会在附近的大槐树下的石凳上，抬头看天空，蔚蓝的天空把我们迷住了，就像一面明镜，没有一点污点；而天空中的白云给蓝天添加了几分神秘。这时我不由赞叹道：“天空真美，夏天真美。”,附近景物化成一片虚影，淡淡烟雾中，只见一人如万马奔腾之势，冲向前方，迅雷不及掩耳之势，闪过这地，双眼中含着血红的眼神，死盯着那，闪电劈下，在那白茫茫一片还隐约看见一个人影，擦肩而过,我家住在彭州园附近，小的时候，爷爷、奶奶每天都要带我去公园玩，公园里有很多座桥：石拱桥、水泥拱桥、钢管拱桥、平桥、木桥、踏木桥，我经常在桥上爬上爬下，非常好玩,D
606,以下哪句话中“感情”的意思(或用法)与其他句子不同。,"""大凡感情用事的人,都不适宜做领导干部""",美育者，一面使人之感情发达，以。梁启,在奶奶家住的久了，我和旺旺渐渐有了感情。我每天早早的起床，有时还喂旺旺吃的呢！过了几天，我回到了自己的家里，还想念旺旺呢。在奶奶家那几天我和旺旺真是玩的好开心！那里就像我们快乐的天地,以农立国的中国，从实际的农业生产活动中，具体地感悟到时间的变动，并且把这种感情融入生活，成为农业生活的庆典仪式。,A
607,以下哪句话中“施工”的意思(或用法)与其他句子不同。,工地上挂着“精心设计、精心施工”的大幅标语,桥的设计完全合乎科学原理，施工技术更是巧妙绝伦,通往成功的路，总是在施工中,不要到正在施工的建筑工地上玩耍,A
608,以下哪句话中“共同”的意思(或用法)与其他句子不同。,科学是人类的共同财富，而真正的科学家的任务就是丰富这个令人类都能受益的知识宝库,月亮和星星，共同承载着你我的愿望,让我们共同拥有一个绿色的地球,让我们为地球妈妈共同撑起一把绿伞,A
609,以下哪句话中“股市”的意思(或用法)与其他句子不同。,人人都说好，股市涨不了，人人都不妙，股市开始悄,绝大多数人看好时，股市就要下跌；绝大多数人看淡时，股价就要上升,股市是狂欢与抑郁交替发作的场所，注意股市的目的，只是想确定有没有人最近做了愚蠢的事，让我有机会用不错的价格购买一家好的企业,"""股市实战干货篇,想在资本市场立足必看此贴,此渔非彼鱼""",C
610,以下哪句话中“事故”的意思(或用法)与其他句子不同。,生命没有回头路，事故没有后悔药,但两个人相遇，接下来的不是故事就是事故,事故警钟时时敲，安全之弦紧紧绷,他俩远道而来，必有事故,D
611,以下哪句话中“宏观”的意思(或用法)与其他句子不同。,从宏观着眼，从微观入手,我不关心宏观的经济形势。在投资领域，你最希望做到的应该是搞清楚那些重要的，并且是可以搞懂的东西,抓大放小，宏观调控。节约出时间来读书、思考、策划，做一些科技含量更高的事情,关于宏观分析我们将继续对政治预言和经济预言置之不理，这些东西对于许多投资者和商人来说是代价按规的消遣,A
612,以下哪句话中“效果”的意思(或用法)与其他句子不同。,努力和效果之间，永远有这样一段距离。成功和失败的唯一区别是，你能不能坚持挺过这段无法估计的距离,想的多一定没做的多有效，然而不想便做一定没什么效果,天才跟科学结合，才能产生最大的效果。斯宾,模拟火车开动的音响效果很逼真,D
613,以下哪句话中“后来”的意思(或用法)与其他句子不同。,读书不趁早，后来徒悔懊,初时所奏和绿竹翁相同，到后来越转越高，那琴韵竟然履险如夷，举重若轻，毫不费力的便转了上去,后来人,起初操场是安静的。后来忽然铃声响了。我便向操场飞奔而去，跑步的速度简直能与一只猎豹相媲美。接着又看到,C
614,以下哪句话中“欢迎”的意思(或用法)与其他句子不同。,迎春花一片一片，整齐地排着队，好像在欢迎春姑娘的到来呢,一个面带诚挚而热情笑容的人，所到之处莫不受到欢迎，而愁容满面的人，则四处碰避,充满着欢乐与战斗精神的行人，永远带着快乐，欢迎雷霆与阳光…,欢迎一起来关心１２月２２号的《华视午间新闻》。,D
615,以下哪句话中“环境”的意思(或用法)与其他句子不同。,小猫还有一双炯炯有神的大眼睛，瞳孔也能随着环境而忽大忽小。三角形的鼻子两侧长着许多胡子，闲着的时候它常在阳光下捋捋自己的胡子,只有把抱怨环境的心情，化为上进的力量，才是成功的保证。,一个人失败的原因，在于本身性格的缺点，与环境无关,要做保护环境的有为之人，不做污染环境的负罪之辈,D
616,以下哪句话中“与会”的意思(或用法)与其他句子不同。,在其它与会者中，来自也门的爱赶时髦的年轻穆斯林传教士哈比卜阿里阿基夫也随声附和,他的高言谠论，真是不同凡响，震惊了与会所有人士,我们公司向来是经理发言之后，与会者无不随声附和,黄石成表示，洛杉矶大会可能正好是诺贝尔奖颁奖的期间，高行健无法与会，但是正积极邀请并且接洽他来台湾访问的时间。,D
617,以下哪句话中“激烈”的意思(或用法)与其他句子不同。,尘世是复杂的，特别是在生存激烈的今天，为了生存，人们往往疲于奔命，由此暗淡了笑容。其实我们大可不必如此，我们要坦诚地对待生活，绽放笑颜，更会成就事业，成就自己，取得更骄人的成绩,下一轮的男生比赛更是激烈，只见两组男生抓住绳子，这边的男生铆足了劲，把脸都憋红了。那边男生的前腿直蹬，后腿弯曲。“加油！加油！”的喊声响彻整个校园…,壮怀激烈,在竞争异常激烈的现今时代，只有通过不断地学习，掌握尽可能多的技能知识，不断地充实自己，才能在竞争中立于不败之地,C
618,以下哪句话中“以及”的意思(或用法)与其他句子不同。,以本国人的管理方法，加上中国人的管理哲学，以及保留员工的干劲及热情，无往而不利,自由是一种必须有其自己的权威、纪律以及制约性的生活方式,古人云：“老吾老，以及人之老；幼吾幼，以及人之幼”。我们不仅要孝敬自己的父母，还应该尊敬别的老人，爱护年幼的孩子，在全社会造成尊老爱幼的淳厚民风，这是我们新时代学生的责任,最初所拥有的只是梦想，以及毫无根据的自信而已。但是，所有的一切就从这里出发,C
619,以下哪句话中“技术”的意思(或用法)与其他句子不同。,中国高新技术开发区发展迅速成果显著,往往有这样的情形：为科学和技术开拓新道路的，有时并不是科学界的著名人物，而是科学界毫不知名的人物，平凡的人物，实践家，工作革新者。斯大,科学技术就像空气和水一样，弥漫渗透到社会肌肤的每一个毛孔和细胞。它对人类文明所产生的物质影响和非物质影响是无可估量的,学会忘记是生活的技术,A
620,以下哪句话中“继续”的意思(或用法)与其他句子不同。,不必为某个人选择销毁ID或者失踪。爱和不爱都将继续生活，结束就好好结束，何必苦了自己,有一种成功，叫永不言弃；有一种成功，叫继续努力,三点多的闹钟把我从梦乡中唤醒，刚想按掉闹钟继续回到那个梦境里舞蹈，却突然想起今天要去看日出，只有拖拖拉拉、不情不愿地起来洗漱,思索，继续不断地思索，以待天曙，渐进乃见光明,C
621,以下哪句话中“加以”的意思(或用法)与其他句子不同。,人只能活一次，既不能拿它跟前世相比，也不能在来世加以修正。,对孩子的要求，如果没有充分的理由加以拒绝，就应该给予满足；如果有不答应这种要求的理由，那就不允许他耍赖。一旦拒绝，就不要改变。,每个人都有优势，由自己发现并加以利用便成为老板；由他人发现并加以利用便成为千里马,零星的时间，如果能敏捷地加以利用，可成为完整的时间。所谓“积土成山”是也，失去一日甚易，欲得回已无途。,C
622,以下哪句话中“建立”的意思(或用法)与其他句子不同。,塑造人的品质，建立管理根基,谬误总是筑在流沙上，而正确却它坚固的基础建立在稳定的中心上。,征服畏惧建立自信的最快最确实的方法，就是去做你害怕的事，直到你获得成功的经验,人生伟业的建立，不在能知，乃在能行,B
623,以下哪句话中“浙江”的意思(或用法)与其他句子不同。,本公司坐落于山清水秀的浙江省温州市，水陆交通便利,浙江八月何如此，涛似连山喷雪来。,北京的白菜运往浙江，便用红头绳系住菜根，倒挂在水果店头，尊为“胶菜”;福建野生着的芦荟，一到北京就请进温室，且美其名曰“龙舌兰”,人物的模特儿也一样，没有专用过一个人，往往嘴在浙江，脸在北京，衣服在山西，是一个拼凑起来的角色。,B
624,以下哪句话中“交流”的意思(或用法)与其他句子不同。,涕泪交流,默读时，贵在边读边思考。现在我们将默读的思考心得交流一下,蹲下来讲话，抱起来交流，牵着手教育,通讯只是工具。人和人的见面才是交流,A
625,以下哪句话中“迎接”的意思(或用法)与其他句子不同。,在美好的回忆中迎接明天吧，拿起披荆斩棘的利剑，在艰难困苦中奋勇搏击，搏出生命的精彩，搏出瑰丽的人生；在美好的回忆中走向前方吧，以阳光般的心态，不畏苦难，不畏流言，从容而淡定地一路走下去…,如果现在逃走就不是冯克雷了！如果对以生命为赌注去迎接朋友地好友见死不救，你们明天的饭会吃得香吗,用微笑迎接微笑，用心灵碰撞心灵，用激情点燃激情，用关爱呼唤心灵,鸟儿唱着欢乐的歌，迎接着喷薄欲出的朝阳；被暴风雨压弯了腰的花草儿伸着懒腰，宛如刚从梦中苏醒；偎依在花瓣、绿叶上的水珠闪烁着光华,B
626,以下哪句话中“紧紧”的意思(或用法)与其他句子不同。,事故警钟时时敲，安全之弦紧紧绷,相同的是他们都把脸遮得紧紧的羞于见人，２０岁的简义龙头发染成金色，自称是大学生在外招摇撞骗，今天他和穿黑色衣服的简志龙还刚刚在餐厅认识一名女服务生。,那几朵野菊花有一些是白色的瓣紧紧地拥抱着黄色的花蕊，有一些是黄色的瓣，像守候小弟弟似的守候着白色的花蕊。那些黄或白的花蕊在中间，安静的躺着，看着那些白或黄的花瓣们在随着秋风的节拍跳舞。好和谐的一幅图画啊,在狂风中，小杨树从不屈服，它们把根紧紧地扎进土地，用水形成的绿叶挡住大风中的灰尘，不让灰尘污染我们的生活环境,B
627,以下哪句话中“前进”的意思(或用法)与其他句子不同。,母亲如同金色的灯塔，时刻指明我前进的方向,奋斗就是生活，人生只有前进。,行路不仅仅在于快慢，还在于是否能够持续；前进不仅仅在于速度，更在于能否保持正确方向,做人要像竹子一样每前进一步，都要做一次小结,C
628,以下哪句话中“最近”的意思(或用法)与其他句子不同。,最近或最后的印象对人的认知有强烈的影响,最近几个月来，伊拉克国内安全形势持续恶化，暴力事件频繁发生,最困苦的时候，往往是离成功最近的时候,最近，天一直在下雨。嘿！云可能做了好几天的遮阳工作，累得气喘吁吁大汗淋漓了。这时，云出的汗从天空中高高地落下，便下起了倾盆大雨，让大地生机勃勃,C
629,以下哪句话中“经理”的意思(或用法)与其他句子不同。,经理不是只告诉别人怎么干的家伙，而是要激发队伍产生一定报负，并朝目标勇往直前,不要在名片上印总经理的字样，印设计总监或客户总监会让你的业务开展起来更有余地，客户也会觉得你公司规模看起来还可以,这家商店委托你经理,对于一个经理人来说，最要紧的不是你在场时的情况，而是你不在场时发生了什么,C
630,以下哪句话中“救灾”的意思(或用法)与其他句子不同。,人民解放军在抢险救灾中立下了不朽的功勋,这是一篇纪实文章，真实记录了抗震救灾的整个过程,在这次抗洪救灾中他以身殉职了,人民解放军在抗洪救灾中显示了不屈不挠的英雄气概,B
631,以下哪句话中“选举”的意思(或用法)与其他句子不同。,公民有选举和被选举的权利,统计完选票，老师宣布选举结果,政客考虑下一次选举，政治家思虑下一个世代,"""村长选举中,小王落选了""",A
632,以下哪句话中“决心”的意思(或用法)与其他句子不同。,自信心对我们的学习很重要。我们读书学习，需要有决心、有信心、有行动,追求是一颗恒心，果敢刚毅；追求是一颗决心，执着坚定；追求是一种勇气，破浪航行；追求是一中胆气，昂首奋进,我们的行为取决于我们的决心，而非我们的处境,有不少人决心去改造这个世界，但实际上有几个人能真正改造自己,D
633,以下哪句话中“依靠”的意思(或用法)与其他句子不同。,父亲如山，一直在我心中巍然屹立，是我最为坚实的依靠；父亲如海，始终给我最深的关爱包容，是我永不消失的归宿；父亲如灯，反复为我照亮前方的路程，是我迷茫无助时的启明星,写点日记，不要太依靠记忆,一个人必须要有志气，不能依赖依靠别人，坚强的气魄与力量是人一生中最大的瑰宝,发展为了人民，发展依靠人民，发展成果由人民共享,A
634,以下哪句话中“科学”的意思(或用法)与其他句子不同。,凡是较有成就的科学工作者，毫无例外地都是利用时间的能手，也都是决心在大量时间中投入大量劳动的人。,困难只能吓倒懦夫懒汉，而胜利永远属于敢于攀登科学高峰的人,科学种田,科学没有国界，科学家却有祖国。,C
635,以下哪句话中“联盟”的意思(或用法)与其他句子不同。,我是联盟最好的后卫。也许我不是最好的球员，但我认为没有人比我更出色,天才必然和疯子结成亲密的联盟,自然和天才结成永恒的联盟；前者许下的诺言，后者去兑现,地球联盟的剩余力量大多在开罗的一处堡垒内负隅顽抗，非常危险,D
636,以下哪句话中“为了”的意思(或用法)与其他句子不同。,上帝为了补偿人间诸般烦恼事，给了我们希望和睡眠,为了梦想，我们拼搏努力，但在实现梦想的过程中，会遇到许多困难，只有做到“肯吃苦有毅力有信心”才能披荆斩棘，摘得梦想的桂冠,人不会苦一辈子，但总会苦一阵子；许多人为了逃避苦一阵子，却苦了一辈子,点燃了的火炬不是为了火炬本身，就像我们的美德应该超过自己照亮别人。莎士比,A
637,以下哪句话中“面前”的意思(或用法)与其他句子不同。,我爱书，我常常站在书架前，这时我觉得我面前展开一个广阔的世界，一个浩瀚的海洋，一个苍茫的宇宙,你不能站在他面前不动窝，也不出手。,我要努力，以最好姿态出现在当初否定我的人面前,转眼，春就这么赤裸地站在我面前，我们默默无语。融化的天空下起了绵绵不绝的雨，潮湿，但温和，宛若一个快乐的孩子，倔强地排斥她不想要的，却又真的快乐的像个孩子,A
638,以下哪句话中“命运”的意思(或用法)与其他句子不同。,做一题会一题，一题决定命运,地球的命运掌握在人们的股掌之间，稍不留神，将会被毁灭,因为我对权威的轻蔑，所以命运惩罚我，使我自己竟也成了权威。,唯有行动才能改造命运,C
639,以下哪句话中“水平”的意思(或用法)与其他句子不同。,夫妻之间的物质生活水平，由收入较高的一方来决定；他们之间的精神生活水平，由素质较低的一方来决定,生活就像一场球赛，哪怕水平再烂，也要努力踢的精彩,水平如镜的湖面，慢慢弹奏着心灵的乐曲。嗅不到，听不到，更触摸不到。声之最高境界莫过于此,赚钱是一种能力，花钱是一种水平，能力可以练，水平是轻易练不出来的,C
640,以下哪句话中“突破”的意思(或用法)与其他句子不同。,"""在绝境中成功者往往会突破思想上的樊篱,超越世俗常规,书写连自己都不曾想过的神话""",我们一来到就打比赛，我们PK由我来发球，我使用了突破，可惜被袁帅奇冒了，接下来由袁帅奇发球，我我也给冒了。我又1个远投三分投进，最后，我连进好几个三分，使袁帅奇这盘输给了我，而且是“光头”,不要生气要争气，不要看破要突破，不要嫉妒要欣赏，不要拖延要积极，不要心动要行动,热情和欲望可以突破一切难关,B
641,以下哪句话中“为期”的意思(或用法)与其他句子不同。,中国加入WTO已为期不远,为期六天的第五届北京国际图书博览会今天在北京举行。,各国领导人聚首布鲁塞尔，进行为期一天，旨在讨论近来高加索地区战争的欧盟紧急峰会。这一警告一经提出，可谓正中他们下怀,博尔特这次的肯尼亚之旅为期四天，他表示希望能在那里见到各种各样的动物，但狮子除外，因为这会令他胆战心惊,A
642,以下哪句话中“完全”的意思(或用法)与其他句子不同。,据不完全统计，近五年，各省通过友好城市渠道举办或参加各种贸易展销活动六百多次，成交额六十多亿美元，引进各种独资、合资项目一千二百多个，吸引外资近一百亿美元。,完全照成功者的方法来执行,其实世界上根本没有最美丽和最丑陋之分，完全取决于人的心情。有一句话说得好：世界不是却少美的东西，而是却少发现美的眼睛。只要有一个美丽的心情，那么一切都会变得无比美丽,是使自己的人格伟大还是渺小呢？这完全仰仗这个人自己的意志,A
643,以下哪句话中“群众”的意思(或用法)与其他句子不同。,人看人，户看户，群众看的是干部。,以保持党同人民群众的血肉联系为核心、以建设高素质干部队伍为关键、以改革和完善党的领导体制和工作机制为重点、以加强党的基层组织和党员队伍建设为基础，全面加强党的建设,人民群众是社会的主人，公务员是人民的公仆,在群众的呼喝声中，那个恶霸夹着尾巴逃跑了,B
644,以下哪句话中“任务”的意思(或用法)与其他句子不同。,学校的任务，是教会学生们靠自己从书籍和生活中获取知识。,当老师是一项艰巨的任务，是一项辛苦的任务。老师就像一棵红烛，虽然红烛的燃烧是短暂的，可老师们燃烧自己来照亮别人的心灵是永不变的，是万古常青的,但仍然面临着消灭非法武装残余及其首领的任务。,他还宣布，西班牙已经接受联合国的要求，准备在近几天内派出一架运输机和２０名士兵前往卢旺达，直接参与联合国维持和平部队的任务。,A
645,以下哪句话中“认真”的意思(或用法)与其他句子不同。,一句玩笑话，何必认真,对待生命要认真，对待生活要活泼,当你和时间开玩笑时，它却对你很认真。它不会对你讲情而多给你一些时间。不要等太阳落山了，才感到阳光的可贵,"""我们学习要踏实认真,不要好高骛远""",A
646,以下哪句话中“外商”的意思(或用法)与其他句子不同。,年轻的瑞典人受雇于外商或国际组织经常会碰到麻烦，太不拘小节或者太不尊重制度,东部地区开发指挥部与外商所签订的合同文本，不是走过场，不是一纸空文，而是具有法律效力的文书,"""这个地方山重水复,交通不便,外商不愿来投资""",经过交涉，外商同意赔偿我们的经济损失,C
647,以下哪句话中“社会主义”的意思(或用法)与其他句子不同。,以实际行动捍卫党的领导，捍卫社会主义政权，捍卫中国特色社会主义制度，捍卫改革发展稳定的大好成果，捍卫最广大人民的根本利益,我绝不悲观。我要争取多活。我要为我们的社会主义祖国工作到生命的最后一息。,社会主义是科学和文化的社会。要成为社会主义社会的当之无愧的成员，应当努力地和好好地学习，获得很多的知识。,社会主义阶段的最根本的任务就是发展生产力。,A
648,以下哪句话中“摄影”的意思(或用法)与其他句子不同。,摄影是学习如何观察事物的一种方式，它是强烈的个人视觉感受,一卷36张均为满意曝光意味着摄影师无任何新的尝试,骋足则能追风摄景,恋爱就像摄影，即使你设备先进、技术精湛，但最后还是少不了暗室操作,C
649,以下哪句话中“实事”的意思(或用法)与其他句子不同。,“实事”就是客观存在着的一切事。,一个人一天做一件实事，一个月做一件新事，一年做一件大事，一生做一件有意的事。贪多不务实是人生大忌,要不断提高自身的能力，才能益己及他。有能力办实事才不会毕竟空谈何益。故事的结束总是满载而归，就是金榜提名,为老百姓服务，为人民干实事,A
650,以下哪句话中“战士”的意思(或用法)与其他句子不同。,我以我父亲是海贼为荣！我以他是勇敢的海上战士为荣！你说的没错！我喜欢吹牛…但是，我夸耀我拥有的海贼血统！我不需要伪装！我是海贼的儿子！,这只鳄鱼是宽吻鳄，鳄鱼披着盔甲像个战士，尾巴长长的像一条辫子,悲哀在他心上刻下的伤痕，比战士盾牌上的剑痕更多。,战士们冒着枪林弹雨，冲锋陷阵，英勇杀敌,A
651,以下哪句话中“优势”的意思(或用法)与其他句子不同。,幽默是表明工人对自己事业具有信心并且表明自己占着优势的标志。,今天的优势会被明天的趋势所取代,如果没有价格上的优势与技术上的绝对优势，千万不要进入红海市场，否则你会必输无疑,差异化是企业竞争力的核心，相对优势是最大的优势,A
652,以下哪句话中“势头”的意思(或用法)与其他句子不同。,我国的经济一直保持着快速发展的良好势头,我国的工业生产，保持着持续发展的良好势头,看势头，这场雨一时半会儿停不了,实效，就是要看假冒伪劣的势头是否能得到有效遏制，要看假冒伪劣商品的大案、要案是否能得到彻底查处、要看各地区各单位各级领导干部是否能在摒弃地方保护、行业保护，树立大局意识等方面真有所突破。,D
653,以下哪句话中“于是”的意思(或用法)与其他句子不同。,我年轻时注意到，我每做十件事有九件不成功，于是我就十倍地去努力干下去。萧伯纳,于是我紧张起来了，问导游：“为什么才到半山腰就往回走？”,吃过午饭后，天气热的呆不住，于是我打算出去，找个好地方乘凉。我打着雨伞出门，我想去附近的公园里，走在路上，虽然打着雨伞，但还是感觉热呼呼的，像是坐在火炉旁边似的,玉兰花开了，并强调这种花在北方很难得一见，于是稀里糊涂的去赏了一次玉兰。对花一窍不通的我，其实当时也不知道我以前见没见过这种叫玉兰的花，只是知道了这花很稀奇,B
654,以下哪句话中“首先”的意思(或用法)与其他句子不同。,若想改变人生，首先要改变我们自己。而改变我们自己，首先要正确的认识自己，敢于否定自己,进了果园，首先映入眼帘的是一棵棵的橘子树，那成熟的橘子，挂在树上，像一个个金元宝。“我应该是这个季节第一个来的吧。”每当此时，我总会这样想，因为如果那些小孩子们比我早的话，“金元宝”早就没了吧,意大利有一句谚语：对一个歌手的要求，首先是嗓子、嗓子和嗓子……我现在按照这一公式拙劣地摹仿为：对一个要成为不负于高尔基所声称的那种“人”的要求，首先是意志、意志和意志,首先做研究者，其次才做管理者,C
655,以下哪句话中“人数”的意思(或用法)与其他句子不同。,"""宁可人数少点,也不能影响战斗力,这样才符合精兵简政的策略""",我们今天的讨论很热烈，参与的人数也多，说得很有质量，我为你们感到骄傲,以吾人数十年必死之生命，立国家亿万年不死之根基，其价值之重可知。,这次事故死亡的人数震撼人心,C
656,以下哪句话中“税务”的意思(或用法)与其他句子不同。,税务员之廉，纳税人之福,税务持续上涨的时候，官员们不闻不问,税务局的腐败是件老生常谈的事，这是一个主张对当地经济进行更多控制的机构,不要在税务等方面动大脑筋，商业化与国际化进程的加深只会让你遇到更为严格的财务与经营审查，除非你永远只想徘徊在下游,A
657,以下哪句话中“一些”的意思(或用法)与其他句子不同。,相信一些东西，并且永不怀疑。对于其余，则时刻保持警惕,在我们这一日益文明和谐的社会里，我痛心地发现了一些不和谐、不文明的现象：环卫工人正在路边默默的清扫着最后的废品，不知是哪个调皮鬼，把吃完的果皮随手扔到街面上，但环卫工人木有半句怨言，我多么希望这样的事情以后不再发生，大伙共同维护好我们美好的家园,春天，我走进乡村。乡村里，有些人家在屋后种一些竹。嫩绿的叶，青翠的竿，一片片，一枝枝，投下绿绿的浓阴。春雨洒过后，我到那绿绿的竹林走走，看见竹笋成群地钻出来。偶然，还看到母鸡率领着鸡群在竹林觅食,我们总是把陌生人给的一些小恩小惠当做是大恩大德，却把身边那些死心塌地对你好的人当做理所当然,D
658,以下哪句话中“英雄”的意思(或用法)与其他句子不同。,世上只有一种英雄主义，就是在认清生活真相之后依然热爱生活。,英雄---就是这样一个人，他在决定性关头做了为人类社会的利益所需要做的事。,勇登书山，点点心血勤育英才厚泽九州；我本英雄，滴滴汗水勇赴学海逐鹿中原,没有宽宏大量的心肠，便算不上真正的英雄,C
659,以下哪句话中“学院”的意思(或用法)与其他句子不同。,别上法学院。律师总是代表别人去争利，压力奇大。自杀是律师中第一号非正常死亡的原因,音乐学院是学习的最低限度，以后还有生活。作曲家应该学到老，一生磨练技巧，发展、丰富自己对世界的理解，永远前进、前进,学院憎恨天才，正像修道院憎恨圣徒。,农业科学院又培育出一个大豆新品种,A
660,以下哪句话中“主要”的意思(或用法)与其他句子不同。,应当把工作以外的剩余精力主要放在学习上，养成学习的好习惯,腊梅花主要分为两种。一种是素心腊梅。它们的花心是黄色的，花瓣圆而大。另一种则是狗心腊梅。它们的花心是红色的，它们的花瓣狭而尖。按我的个人意见吗,一个人不得志，环境不是主要的原因，内心的力量才是最根本的。人生的道路往往比山路更加盘旋曲折,热爱孩子是教师生活中最主要的东西。苏霍姆林斯,A
661,以下哪句话中“医药”的意思(或用法)与其他句子不同。,他把自己的遗体捐献给了医药事业,建立科学的生活方式，自己少受罪，儿女少受累，节省医药费，造福全社会,夫医药为用，性命所系，和扁至妙，犹或加思，仲景明审，亦候形证。一毫有疑，则考校以求验,医药板块已经涨了七天，从30分钟线可以看出，11月10日上午开始下行。上海医药当时逃出是对的,B
662,以下哪句话中“运用”的意思(或用法)与其他句子不同。,目前，小浪底水库蓄水４７．５亿立方米，接近本年度控制运用的最高水位。,有知识不会运用，就如同耕耘了却不播种,聪明的人决不等待机会，而是攫取机会，运用机会，征服机会，以机会为仆役,时常运用头脑风暴，利用脑力激荡提升自己的创新能力,A
663,以下哪句话中“由于”的意思(或用法)与其他句子不同。,这头大肥猪，屁股溜圆，肚子蛮大，由于脂肪过度丰富，它只得慢慢走着，好像架子很大的老爷,他之所以为自己所领导的微软而感到自豪，是由于在这个团体中聚集了一大批与他一样热爱微软事业的人,我之所以稀饭含笑，是由于她有1个很诗意的名字，很容易让人联想起少女羞涩的微笑。我稀饭她含蓄幽雅、悄然绽放的个性，花开不张扬；稀饭她绽放时柔美中透出的那份安祥，又有绽放时满天飘逸着的那股浓郁厚重的香甜味,星星颜色不同，是由于它们的表面温度不同。太阳光看上去是白色的，实际上是由：红，橙，黄，绿，青，蓝，紫七种颜色的光组成,B
664,以下哪句话中“决策”的意思(或用法)与其他句子不同。,决策任何一件事情的时候，应开阔心胸，统筹全局。但一旦决策之后，则要义无反顾，始终贯彻一个决定,正确的决策来自众人的智慧,在没出现不同意见之前，不做出任何决策,不让决策在我身上失误，不让百姓在我手下作难，不让党的形象在我身上受到损害,A
665,以下哪句话中“考察”的意思(或用法)与其他句子不同。,不能轻信别人的意见，一定要通过学习的考察以取得真正的知识,要了解一个人的真正面目，就要考察他做的事，观察他为达到一定目的采取的方法，了解他心情安于什么不安于什么,考察队员来到终年积雪的南极，建立了考察站,人类始终只提出自己能够解决的任务，因为只要仔细考察就可以发现，任务本身，只有在解决它的物质条件已经存在或者至少在形成过程中的时候，才会产生,C
666,以下哪句话中“成长”的意思(或用法)与其他句子不同。,小鸟展翅看大鸟，学生成长靠教师,成长路上，有快乐，有幸福；有苦涩，有艰辛。成长告诉我，我不再是那个淘气的孩子，我长大了；成长告诉我珍惜光阴；成长告诉我珍惜友谊；成长告诉我和家人心连着心,小草在雨露中成长，伸展了臂膀。而鲜花也更加美丽，并且散发着迷人的芳香！它们共同感受着大自然带来的气息。时间也是这样的过着。,成长就是这样，有坎坷，有悲伤，有欢乐。在成长的过程中，我们每个人都会经历痛苦，但，失败乃成功之母，有痛苦就会有成功。在成长中慢慢总结失败的原因，就会在以后的奋斗中取得成功,C
667,以下哪句话中“家长”的意思(或用法)与其他句子不同。,老牛好似牛群的家长，无比尊严,爱心奉献于幼儿，真心服务于家长，恒心钻研于教育,热心对待工作，真心呵护幼儿，诚心服务家长,用爱心换取幼儿的快乐，用真心换取家长的信任,A
668,以下哪句话中“控制”的意思(或用法)与其他句子不同。,大嫂的怒气像山洪似的忽然冲下来。但是，她的控制自己的力量比山洪还更厉害,时光百转千回，执着和忘记没有差别，强加控制的忘记等于执着，而不加控制的执着等于忘记。所有的烦恼都会过去，你所需要的只是经历。通过经历摆脱固执，你将在爱情里发现你的慧心,人类是控制陆地和海洋的主人，天赋的智慧胜过一切走兽飞禽。,试图用暴力控制人的思想的人是暴。,A
